"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"result.77",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.087622721,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-7.214750969,-7.549923995,2.17988953,98,98,73,26,20,23,22,12,9,1,6,8,6,6,0,0,0,0,0,0,0,0,0,408,0,0,0,564,455,0,550,479,643,0,281,0,603,429,14,0,0,0,0,0,0,0,0,392,65,71,134,23,34,0,641,246,2,312,396,54,7,438,1,32,0,0,0,1110,12,0,7988
"result.78",1.627138401,8.15138245,-5.324582863,-1.635206211,-6.84449811,-8.25736057,-5.061091259,-8.382274614,4.380689119,-1.197446351,9.639722551,-5.648902291,-8.05479507,-2.354858671,2.217766061,-6.890237492,98,98,74,24,19,23,25,9,8,1,5,7,6,6,0,0,0,0,0,0,0,0,0,403,0,0,0,578,472,0,561,600,722,0,220,0,561,415,24,0,0,0,0,0,0,0,0,621,135,136,178,45,53,0,346,88,0,593,705,127,94,587,0,68,0,0,0,10,41,8,7988
"result.79",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-5.545068644,0.297693261,-5.206070766,98,98,70,24,19,22,25,10,10,1,4,7,6,6,0,0,0,0,0,0,0,0,0,400,0,0,0,582,453,0,548,632,657,0,273,0,596,427,19,0,0,0,0,0,0,0,0,383,51,41,71,18,50,0,288,219,0,331,366,91,3,390,1,22,0,0,0,1448,28,0,7988
"result.80",1.734929173,8.15138245,-5.324582863,-2.168816053,-6.871744432,8.091834183,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,2.217766061,-7.342645393,98,98,72,26,21,21,25,11,8,1,5,7,6,6,0,0,0,0,0,0,0,0,0,405,0,0,0,589,458,0,554,628,674,0,272,0,603,428,16,0,0,0,0,0,0,0,0,425,68,73,59,11,46,0,288,127,0,373,405,34,2,370,1,12,0,0,0,1445,27,0,7988
"result.81",1.734929173,8.15138245,-3.600685162,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-5.514802714,9.639722551,-5.648902291,-9.470508204,-4.291053748,0.771599412,-3.76423311,98,98,71,25,19,23,25,12,9,1,3,6,6,6,0,0,0,0,0,0,0,0,0,402,0,0,0,578,470,0,550,429,653,0,224,0,595,437,16,0,0,0,0,0,0,0,0,322,41,47,50,6,17,0,772,229,2,471,215,53,0,292,1,2,0,0,0,1494,22,0,7988
"result.82",2.051594429,8.15138245,-5.324582863,-1.635206211,-6.576156114,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-9.878677055,-9.2810226,0.297693261,-6.630423507,98,98,71,24,19,21,25,11,9,1,4,7,6,6,0,0,0,0,0,0,0,0,0,400,0,0,0,582,454,0,547,625,657,0,273,0,595,426,18,0,0,0,0,0,0,0,0,407,53,43,76,17,53,0,295,219,0,343,368,47,3,390,1,22,0,0,0,1446,28,0,7988
"result.83",5.501937473,-2.10303827,-8.849796567,-9.669505857,5.595181902,5.834848004,-4.71511724,-5.833582245,2.752305486,0.763996044,-3.590618138,-4.707423937,-3.461864758,-7.438652986,-2.680630985,1.907230782,98,98,76,27,12,24,22,14,8,1,5,4,2,4,0,0,0,1,0,0,0,0,0,396,0,0,0,589,413,0,511,781,720,0,320,0,596,415,39,0,0,0,0,0,0,0,0,579,161,211,179,88,161,0,2,0,9,176,729,1,16,553,13,159,0,0,0,470,97,0,7988
"result.84",3.541347871,2.077413406,-1.175039401,-6.302056313,-0.35137136,-7.258262066,0.993627375,7.755573345,-9.475227096,-0.733542782,0.251514958,3.494866113,-2.80642427,-8.062476125,0.401992123,-3.714783429,98,98,78,27,20,24,23,8,9,1,5,6,5,5,0,1,0,0,0,0,0,0,0,408,0,0,0,583,206,0,242,740,592,0,338,0,301,410,76,0,0,0,0,0,0,0,0,192,86,1,89,798,119,921,55,329,96,0,69,788,0,24,599,0,0,0,0,0,4,330,7988
"result.85",1.60387509,-0.808179076,4.245075509,-6.617986076,-6.84449811,-8.25736057,-6.715024416,2.704687142,-9.372214759,-0.939187971,-2.160474951,-5.94406506,-1.068780711,6.359398366,-7.084754677,-6.034869506,98,98,77,25,22,22,21,10,9,2,8,9,4,4,1,0,0,0,1,0,0,0,0,411,0,0,0,578,418,0,507,784,724,0,321,0,592,412,54,0,0,0,0,0,0,0,0,580,200,104,198,123,182,0,0,2,154,191,785,24,27,440,224,133,4,0,0,0,0,227,7988
"result.86",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-5.061091259,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-9.878677055,-7.214750969,0.297693261,-6.630423507,98,98,69,24,19,21,24,10,9,1,3,7,6,6,0,0,0,0,0,0,0,0,0,395,0,0,0,582,455,0,549,625,657,0,275,0,591,424,18,0,0,0,0,0,0,0,0,405,65,67,76,17,53,0,297,148,0,351,397,51,6,399,1,20,0,0,0,1445,14,0,7988
